Date,TSCO,KMX,ROST,ORLY,AMZN,AZO,SBUX,TJX,NKE,DHI,SHW,BLL,ALB,FMC,PKG,ECL,APD,EMN,PPG,MLM,VTR,PSA,O,MAA,ESS,ARE,UDR,SBAC,PLD,AVB
2000-01,0.8633875012397766,0.9609375,1.437119448184967,7.77421875,68.05,29.04375,2.6963366866111755,1.8099068522453308,4.867935585975647,2.4898401141166686,4.357329964637756,2.015849822759628,6.365692067146301,5.3295258522033695,6.601918935775757,14.6669189453125,17.765171337127686,11.536003971099854,17.349187231063844,33.24976930618286,1.242210465669632,10.588225698471069,3.0302789330482485,7.10216269493103,14.813267087936401,14.08997073173523,3.1709174871444703,24.463358211517335,8.526842260360718,14.40662899017334
2000-02,0.9251193583011628,0.80625,1.4493230164051056,6.2546875,72.4625,23.953125,3.469425618648529,1.5852610170841217,3.406191325187683,2.4625977516174316,4.531300663948059,1.625435119867325,5.758863639831543,4.793331575393677,5.828551435470581,12.552591705322266,15.852912616729736,9.742355012893677,15.050248527526856,29.73743095397949,1.1049718141555787,10.178923892974854,3.0393941164016725,7.158928489685058,15.152637481689453,13.831156826019287,3.1937447428703307,33.43817253112793,8.670017337799072,14.139385604858399
2000-03,1.0316959360371465,1.2798913043478262,1.9810654028602268,6.529891304347826,66.69836956521739,24.14945652173913,3.8084001541137695,1.8008920990902444,3.2054628496584683,2.606162910876067,4.869871035866115,1.5570951907531074,6.102690675984258,4.918830394744873,5.539498349894648,12.61294646885084,15.021387058755625,10.06983877264935,14.343619471010955,31.652337198672086,1.0564909681029941,9.777352830638057,2.9736862597258193,7.205137169879416,15.747630824213443,14.35241641169009,3.137558823046477,46.21061474344005,8.800279866094174,14.47101062277089
2000-04,1.0972733340765302,1.372532894736842,2.2562874994779887,6.759868421052632,56.375,26.5625,3.8951121756905005,2.059987463449177,4.2556657791137695,2.7022861430519507,5.878859218798186,1.7722091988513344,7.071606585853978,5.516114837244937,5.855536686746698,14.626875827186986,16.956222935726768,11.999483459874204,15.609739454169022,36.820918233771074,1.1928703157525313,10.206514408713893,3.0139456673672327,7.604505865197432,16.70847561484889,14.959155082702637,3.253284730409321,38.90450005782278,9.357138181987562,15.800031310633608
2000-05,0.9453067291866649,1.28125,2.1791991970755835,7.078125,53.69389204545455,25.107954545454547,3.2740293632854116,1.920621552250602,4.258118098432368,2.7912485599517822,5.916278600692749,1.6201055971058933,7.853810960596258,5.813636844808405,6.5130625854838975,15.411584940823642,19.04487601193515,13.163583582097834,15.907305153933438,38.984561226584695,1.2586312781680713,10.255308844826438,3.3118258606303823,7.78064361485568,17.875520272688433,15.998433286493475,3.4657677845521406,40.64657020568848,9.784462625330145,16.87209788235751
2000-06,0.7965113628994335,1.5809659090909092,1.7548974752426147,6.818892045454546,45.46875,26.859375,3.6933201984925703,1.9449088356711648,3.9520905884829434,2.8244423216039483,5.487762928009033,1.6264495632865212,7.616782860322432,5.759633085944436,6.0828070857308125,14.589774175123734,18.86982076818293,12.094159256328236,13.579882838509299,33.784142060713336,1.1744625514203852,10.759718027981846,3.510527556592768,7.781810543753884,18.574506586248223,16.236619169061836,3.6963057843121616,45.01373082941229,9.950084729628129,17.358041850003328
2000-07,0.7975402355194092,1.6609375,1.6281681060791016,7.0953125,36.784375,23.703125,4.021379768848419,1.7403833746910096,4.357842373847961,3.095829725265503,5.175338196754455,1.775907152891159,8.03419542312622,5.71940426826477,6.221237254142761,14.479207468032836,17.691371154785156,12.320325422286988,12.74805326461792,32.034801197052005,1.2825748145580291,11.55570297241211,3.584666979312897,7.934541797637939,20.153726291656493,16.75569791793823,3.8166982889175416,49.16483554840088,10.40107970237732,18.89563093185425
2000-08,0.7717962861061096,2.188858695652174,1.6168525063473245,7.763586956521739,36.10597826086956,22.41100543478261,4.0133990619493565,1.7170328109160713,4.462068775425786,3.7239149964374043,5.36649988008582,1.7528251513190891,8.769858982252037,6.212476813274881,6.213483084803042,14.809243202209473,20.121560221133024,11.592969604160475,12.450404415959897,32.55602546360182,1.5989754579283975,11.528027451556662,3.542811559594196,8.139008542765742,22.72977422631305,17.324116582455844,3.7484354972839355,44.049167964769445,10.593527088994565,19.658941020136293
2000-09,0.6672177344560624,2.3109375,1.5667203426361085,7.1796875,41.725,22.515625,3.9400398969650268,2.137323272228241,3.9246902465820312,3.964856708049774,5.238494443893432,1.746208393573761,7.7001676797866825,6.432991647720337,6.492173218727112,14.402320718765258,19.867036151885987,10.58584909439087,11.463073921203613,28.542172813415526,1.7715367138385774,11.351471567153931,3.453418505191803,8.045586204528808,23.75617904663086,16.30820016860962,3.651392233371735,39.8435977935791,10.766282224655152,19.919618606567383
2000-10,0.5322028208862651,2.117897727272727,1.4164137786084956,7.453125,30.786931818181817,24.460227272727273,4.160496159033342,2.40371742031791,3.884429097175598,3.91338755867698,4.840337406505238,1.62826054204594,7.432138681411743,6.527710199356079,6.832636508074674,14.26402421431108,20.6859205419367,10.0037841796875,11.740913911299272,25.921446800231934,1.7949883341789246,10.801881053230979,3.501908681609414,7.711048256267201,24.590733528137207,16.533686464483086,3.509524941444397,37.08804139223966,10.501970377835361,19.614709333939985
