Date,Industrials,Health Care,Information Technology,Consumer Discretionary,Utilities,Financials,Materials,Real Estate,Consumer Staples,Energy,Telecommunication Services
2001-12,65.97242350195886,32.00436838789411,21.26191446783605,22.90250804803325,13.781286904717478,165.5816355144636,15.086426393242322,10.549505488573867,22.439040004661518,13.965761130960548,15.069607591734899
2002-01,57.100191321200946,29.62106134285192,21.3081405654346,20.253998197431805,13.488077317219222,173.19968598272447,16.078699242372117,9.598493913039754,23.288042699443658,13.66291291100676,15.478141291854614
2002-02,51.1792331327167,29.574887297101437,19.10761842622328,21.79843772690031,12.67386214120532,164.1511295649132,17.017781499224093,10.075590005987003,25.01515112876074,15.200936680786901,14.543468988572947
2002-03,59.583509795474875,29.854629187274664,20.049645303984168,22.571077358960608,13.78261180079214,144.26489072656665,18.08413135587762,10.734628056612426,25.29402954628701,17.037227723905502,15.293331287254457
2002-04,53.733217475903075,29.745201687119962,19.484342356897066,22.76206504390667,14.391208940373858,147.71985503225645,18.388310023412142,11.423624321251145,25.115410493208586,17.262489406401304,13.757987881741741
2002-05,48.011988167169136,27.41552455572088,17.436164320885258,23.29217434534094,13.758822076640712,143.79868277970917,19.058687358734407,11.232347425351731,24.707324759780107,16.35969062577527,13.521035723155755
2002-06,44.575855616348136,24.239454413393034,15.968548017502384,20.8673340983408,12.801204283891861,140.75344288499812,18.234497071007436,11.757455687789058,24.372489200927998,16.275226594504026,13.064727362521253
2002-07,44.266543646142566,21.97751567489363,14.988456434859394,20.024164783713374,11.51473092997749,125.76514902726126,17.163637312777823,11.720825779078542,22.429056395312124,15.429151288040575,11.25637404162716
2002-08,48.95608702375189,24.13098446000786,14.531328777422747,18.076264557242222,11.619816645925658,125.81845671681356,16.54771742854225,11.553448086084629,23.401237401058577,15.326124644198924,10.485831125793435
2002-09,43.78048415641802,23.747985853171937,13.749384146505298,19.31527914045146,11.050709749056049,110.49623085304833,16.39022899430872,11.955249401821407,22.815390333527596,15.007638266777134,9.664485973221163
2002-10,41.78301499156886,24.683297042102488,14.252239031499613,19.287707645976205,10.359360260709174,115.88332526006094,15.86891168339861,10.675767642554996,23.57449743384027,15.086493257923209,11.237580647193262
2002-11,41.40559870423976,24.202911112104214,15.357240130555814,18.314853360116167,10.578607644029367,125.69225820184069,16.087446593510464,10.559586730491608,22.510246708051515,14.152836449959139,12.484667777363356
2002-12,38.47673223544859,23.557297956335407,15.24996422744392,19.17980262665845,11.233217805952851,124.86059440276661,17.356266198980382,11.336820272016944,21.997216930965887,14.640218404283205,12.587288217801373
2003-01,36.32353080736159,24.244189103384606,14.912190296446624,17.987349744345554,11.622033830322506,118.96407796995464,17.93595886974587,10.87385099325071,21.401711319978737,14.795946804686135,12.766781451942556
2003-02,36.51592322168459,23.21004042371508,13.736467518148462,16.321778744510922,10.789052386621156,132.2645381847325,16.463737082367324,11.34890436516811,20.73301897309495,14.633490178024136,11.087594192464087
2003-03,37.593337514023474,24.020396358171748,14.632856464637555,17.369826816620282,11.282953966096189,106.77594748420269,16.43420368929081,10.91244735061608,20.657365982030516,14.64091144545626,10.701150055662634
2003-04,40.126609630842346,24.67394855861285,14.802834194280097,18.772061422775167,11.505228324264136,114.80818323881549,17.75702355747214,11.592976914527544,22.564880122136852,14.521905444969233,10.84742137509185
2003-05,38.812664875088274,25.602671340390526,15.135657260736584,21.09471269432842,11.794062284948822,109.67059733403732,17.017274338284096,11.927159777998616,22.97605744264411,15.282255744035293,11.633824366662862
